observation_id|report_type|date_time|date_time_meaning|latitude|longitude|observation_height_above_station_surface|observed_variable|units|observation_value|value_significance|observation_duration|platform_type|station_type|primary_station_id|station_name|quality_flag|data_policy_licence|source_id 
AG000060590-3-1892-09-44-13|2|1892-09-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-10-85-0|2|1892-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|305.24|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-10-85-1|2|1892-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|288.87|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-10-85-2|2|1892-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.06|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1892-10-44-13|2|1892-10-01 00:00:00+00|1|30.5667|2.8667|1|44|710|8.1|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-11-85-0|2|1892-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|295.70|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-11-85-1|2|1892-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|280.92|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-11-85-2|2|1892-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|288.31|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1892-11-44-13|2|1892-11-01 00:00:00+00|1|30.5667|2.8667|1|44|710|4.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-12-85-0|2|1892-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|291.08|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-12-85-1|2|1892-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|276.89|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1892-12-85-2|2|1892-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|283.98|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1892-12-44-13|2|1892-12-01 00:00:00+00|1|30.5667|2.8667|1|44|710|29.8|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-01-85-0|2|1893-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|291.16|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-01-85-1|2|1893-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|274.03|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-01-85-2|2|1893-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|282.60|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-01-44-13|2|1893-01-01 00:00:00+00|1|30.5667|2.8667|1|44|710|1.5|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-02-85-0|2|1893-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|294.91|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-02-85-1|2|1893-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|276.59|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-02-85-2|2|1893-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|285.75|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-02-44-13|2|1893-02-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-03-85-0|2|1893-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|300.06|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-03-85-1|2|1893-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|282.04|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-03-85-2|2|1893-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|291.05|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-03-44-13|2|1893-03-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.5|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-04-85-1|2|1893-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|284.94|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-04-44-13|2|1893-04-01 00:00:00+00|1|30.5667|2.8667|1|44|710|10.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-05-85-0|2|1893-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|312.68|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-05-85-1|2|1893-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|291.48|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-05-85-2|2|1893-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|302.08|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-05-44-13|2|1893-05-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-06-85-0|2|1893-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|314.80|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-06-85-1|2|1893-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|294.54|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
